,Country,Percent
0,United States,46.9%
1,Australia,3.0%
2,Mexico,1.5%
3,Colombia,0.4%
4,United Kingdom,5.4%
5,Turkey,0.6%
6,Brazil,2.6%
7,Portugal,0.6%
8,Canada,4.8%
9,Afghanistan,0.2%
10,Italy,1.3%
11,Japan,1.3%
12,Indonesia,0.6%
13,Venezuela,0.4%
14,Israel,0.4%
15,India,2.8%
16,Namibia,0.4%
17,Luxembourg,0.2%
18,Germany,5.0%
19,France,4.1%
20,China,1.1%
21,Poland,1.1%
22,United Arab Emirates,0.2%
23,Vietnam,0.4%
24,Thailand,0.4%
25,Spain,2.2%
26,Romania,0.6%
27,Ireland,0.4%
28,Sweden,0.6%
29,South Africa,1.1%
30,Greece,0.9%
31,Peru,0.6%
32,New Zealand,0.6%
33,Netherlands,0.2%
34,Estonia,0.2%
35,South Korea,0.2%
36,Belgium,0.4%
37,Austria,0.4%
38,Norway,0.2%
39,Russia,1.1%
40,Croatia,0.4%
41,Ukraine,0.2%
42,Chile,0.4%
43,Argentina,0.4%
44,Czech Republic,0.2%
45,Slovakia,0.4%
46,Trinidad and Tobago,0.2%
47,Switzerland,0.2%
48,Egypt,0.4%
49,Tonga,0.2%
50,Nigeria,0.2%
51,Albania,0.2%
52,Pakistan,0.2%
53,Malaysia,0.2%
