,Country,Percent
0,Greece,0.6%
1,Canada,5.5%
2,United States,52.9%
3,Denmark,0.4%
4,Luxembourg,0.3%
5,Sweden,1.1%
6,Germany,3.8%
7,Netherlands,0.7%
8,Argentina,0.3%
9,Switzerland,0.4%
10,United Kingdom,4.3%
11,Belgium,0.4%
12,Poland,1.1%
13,Australia,3.2%
14,Japan,1.1%
15,Brazil,3.1%
16,Turkey,0.7%
17,Peru,0.6%
18,Spain,1.8%
19,Italy,2.0%
20,India,1.7%
21,Lithuania,0.1%
22,New Zealand,0.6%
23,South Africa,0.9%
24,Taiwan,0.3%
25,United Arab Emirates (UAE),0.1%
26,France,2.2%
27,Romania,0.7%
28,Guatemala,0.1%
29,Togo,0.1%
30,Bangladesh,0.1%
31,Djibouti,0.1%
32,Malaysia,0.3%
33,Saudi Arabia,0.1%
34,Ireland,0.3%
35,Vietnam,0.3%
36,Mexico,0.8%
37,Thailand,0.3%
38,Israel,0.3%
39,Slovenia,0.1%
40,Indonesia,0.4%
41,Austria,0.3%
42,Myanmar,0.1%
43,Serbia,0.1%
44,Russia,0.6%
45,United Arab Emirates,0.2%
46,Afghanistan,0.2%
47,Colombia,0.3%
48,El Salvador,0.1%
49,Norway,0.2%
50,Wisconsin,0.1%
51,Korea,0.1%
52,Slovakia,0.3%
53,Portugal,0.3%
54,Venezuela,0.2%
55,Namibia,0.2%
56,China,0.5%
57,Estonia,0.1%
58,South Korea,0.1%
59,Croatia,0.2%
60,Ukraine,0.1%
61,Chile,0.2%
62,Czech Republic,0.1%
63,Trinidad and Tobago,0.1%
64,Egypt,0.2%
65,Tonga,0.1%
66,Nigeria,0.1%
67,Albania,0.1%
68,Pakistan,0.1%
