,Country,Percent
0,Greece,0.4%
1,Canada,5.6%
2,United States,52.9%
3,Denmark,0.6%
4,Luxembourg,0.3%
5,Sweden,1.2%
6,Germany,3.4%
7,Netherlands,0.9%
8,Argentina,0.5%
9,Switzerland,0.6%
10,United Kingdom,4.8%
11,"Luxembourg,",0.1%
12,Belgium,0.6%
13,Poland,1.1%
14,"Massachusetts,",0.2%
15,Australia,2.7%
16,Japan,0.9%
17,Brazil,2.4%
18,Turkey,0.7%
19,Spain,1.9%
20,Norway,0.3%
21,Italy,2.0%
22,India,1.8%
23,Lithuania,0.1%
24,Northern Ireland,0.1%
25,New Zealand,0.6%
26,Taiwan,0.5%
27,United Arab Emirates,0.2%
28,France,2.3%
29,South Africa,0.9%
30,Romania,0.6%
31,Guatemala,0.1%
32,Togo,0.1%
33,Bangladesh,0.1%
34,Djibouti,0.1%
35,Malaysia,0.3%
36,Saudi Arabia,0.1%
37,Ireland,0.3%
38,Vietnam,0.3%
39,Peru,0.4%
40,Mexico,1.1%
41,Thailand,0.4%
42,Czech Republic,0.2%
43,Indonesia,0.5%
44,South Korea,0.3%
45,Austria,0.5%
46,Myanmar,0.1%
47,Serbia,0.1%
48,China,0.7%
49,Afghanistan,0.2%
50,Colombia,0.3%
51,El Salvador,0.1%
52,Korea,0.1%
53,Slovakia,0.3%
54,Venezuela,0.1%
55,Russia,0.8%
56,Croatia,0.2%
57,Nigeria,0.2%
58,Chile,0.3%
59,Israel,0.2%
60,Namibia,0.2%
61,Trinidad and Tobago,0.1%
62,Egypt,0.2%
63,Ukraine,0.1%
64,Lebanon,0.1%
65,Bolivia,0.1%
66,Portugal,0.1%
67,Philippines,0.1%
