,Country,Percent
0,United States,41.8%
1,Canada,3.8%
2,Japan,1.9%
3,Brazil,6.5%
4,Sweden,1.9%
5,Poland,1.5%
6,Turkey,1.1%
7,Denmark,0.8%
8,Argentina,0.4%
9,Spain,3.0%
10,Norway,0.8%
11,Australia,3.8%
12,Italy,4.9%
13,India,2.3%
14,Lithuania,0.4%
15,Germany,2.7%
16,United Kingdom,3.4%
17,Northern Ireland,0.4%
18,New Zealand,1.1%
19,Taiwan,1.1%
20,Switzerland,0.8%
21,United Arab Emirates,0.8%
22,France,1.5%
23,South Africa,1.1%
24,Romania,1.9%
25,Guatemala,0.4%
26,Togo,0.4%
27,Bangladesh,0.4%
28,Djibouti,0.4%
29,Malaysia,0.8%
30,Saudi Arabia,0.4%
31,Ireland,0.4%
32,Vietnam,0.4%
33,Netherlands,0.8%
34,Peru,0.4%
35,Mexico,0.4%
36,Belgium,0.4%
37,Thailand,0.4%
38,Czech Republic,0.4%
39,Indonesia,0.4%
40,South Korea,0.4%
41,Austria,0.4%
42,Myanmar,0.4%
43,Serbia,0.4%
44,China,0.4%
45,Afghanistan,0.4%
46,Colombia,0.4%
47,El Salvador,0.4%
48,Korea,0.4%
49,Slovakia,0.4%
