,Country,Percent
0,Greece,0.6%
1,Canada,5.9%
2,United States,53.5%
3,Denmark,0.5%
4,Luxembourg,0.3%
5,Sweden,1.5%
6,Germany,3.6%
7,Netherlands,0.8%
8,Argentina,0.4%
9,Switzerland,0.4%
10,United Kingdom,3.8%
11,"Luxembourg,",0.1%
12,Belgium,0.4%
13,Poland,1.1%
14,"Massachusetts,",0.2%
15,Australia,2.7%
16,Japan,1.2%
17,Brazil,2.7%
18,Turkey,0.7%
19,Spain,1.6%
20,Norway,0.2%
21,Italy,1.9%
22,India,1.9%
23,Lithuania,0.1%
24,Northern Ireland,0.1%
25,New Zealand,0.6%
26,Taiwan,0.3%
27,United Arab Emirates,0.4%
28,France,2.4%
29,South Africa,0.8%
30,Romania,0.6%
31,Guatemala,0.1%
32,Togo,0.1%
33,Bangladesh,0.1%
34,Djibouti,0.1%
35,Malaysia,0.3%
36,Saudi Arabia,0.1%
37,Ireland,0.3%
38,Vietnam,0.3%
39,Peru,0.3%
40,Mexico,1.0%
41,Thailand,0.3%
42,Czech Republic,0.3%
43,Indonesia,0.4%
44,South Korea,0.3%
45,Austria,0.3%
46,Myanmar,0.1%
47,Serbia,0.1%
48,China,0.6%
49,Afghanistan,0.2%
50,Colombia,0.3%
51,El Salvador,0.1%
52,Korea,0.1%
53,Slovakia,0.2%
54,Venezuela,0.2%
55,Israel,0.2%
56,Namibia,0.2%
57,Russia,0.2%
58,Singapore,0.1%
59,Philippines,0.2%
60,Croatia,0.3%
61,Chile,0.2%
62,Trinidad and Tobago,0.1%
63,Egypt,0.2%
64,Nigeria,0.1%
65,Portugal,0.1%
66,Albania,0.1%
67,Pakistan,0.1%
