,Industry,Percent
0,Maritime,0.3%
1,Agriculture,1.8%
2,Healthcare,25.5%
3,Transportation,2.7%
4,Oil and Gas,0.9%
5,Environmental Services,0.4%
6,Construction,4.2%
7,Charity/Non-profit,0.1%
8,Television,0.1%
9,Manufacturing,7.6%
10,Food Processing,1.0%
11,Finance,1.4%
12,Law Firm,0.6%
13,Semiconductor Manufacturing,0.1%
14,Lighting,0.1%
15,Hospitality,0.5%
16,Advertising,0.1%
17,Financial Services,2.4%
18,Retail,1.1%
19,Business Services,0.1%
20,Rubber/Plastics Manufacturing,0.1%
21,Telecommunications,1.4%
22,Consulting,0.9%
23,Logistics,3.3%
24,Food and Beverage,0.8%
25,Construction/Contracting,0.1%
26,Marketing,0.1%
27,Mile High Companies appears to be in the **Logistics/Transportation** industry.,0.1%
28,Shipping/Logistics,0.1%
29,Non-profit/Charity,0.4%
30,Toys and Games,0.1%
31,Electrical,0.1%
32,Government,1.9%
33,Software/Technology,0.3%
34,Landscaping/Environmental Services,0.1%
35,Architecture/Engineering,0.3%
36,Legal Services,0.5%
37,Architecture,0.2%
38,Accounting,0.6%
39,Packaging,0.3%
40,Education,5.7%
41,Automotive,2.2%
42,Waste and Recycling,0.1%
43,Promotions Holdings is based in the Advertising industry.,0.1%
44,Media,0.2%
45,Chemicals,0.3%
46,Engineering/Consulting,0.4%
47,Fashion,0.3%
48,Graphics/Design,0.1%
49,Window and Door Manufacturer,0.1%
50,Aerospace,0.9%
51,"HVAC (Heating, Ventilation, and Air Conditioning)",0.3%
52,Semiconductors/Electronics,0.1%
53,Professional Services,0.3%
54,Coatings/Manufacturing,0.1%
55,Entertainment,0.7%
56,Lumber/Yard Supply,0.1%
57,Cultural Institution,0.1%
58,Engineering/Architecture,0.3%
59,Media/Entertainment,0.3%
60,Energy,1.7%
61,Insurance,0.2%
62,Quality Assurance (QA),0.1%
63,Law Firms,0.2%
64,Graphic Design/Printing,0.1%
65,Law Firms/Professional Services,0.1%
66,Logistics/Transportation,0.7%
67,Maritime/Shipping,0.1%
68,Staffing/HR,0.1%
69,Defense Contracting,0.1%
70,Mechanical,0.1%
71,Chemical,0.1%
72,Staffing/Recruiting,0.1%
73,Defense Contractor,0.1%
74,Market Research/Consulting,0.1%
75,Retailer,0.1%
76,Real Estate,1.2%
77,Design/Architecture,0.1%
78,Energy/Utilities,0.5%
79,Health and wellness,0.1%
80,Communications Equipment,0.1%
81,Banking,0.7%
82,IT Staffing,0.1%
83,Healthcare/Wellness,0.1%
84,Communications,0.1%
85,Printing/Publishing,0.1%
86,"Powell Communications

Industry: Telecommunications",0.1%
87,Government/Defense,0.1%
88,Shipping and Logistics,0.1%
89,Local Government,0.5%
90,Taxation/Accounting,0.1%
91,Data Management,0.1%
92,Scouting/Guiding,0.1%
93,Information Technology (IT) Services,0.1%
94,Legal/Professional Services,0.1%
95,Energy and Utilities,0.3%
96,Wholesaling/retailing,0.1%
97,Food/Beverage,0.3%
98,Railroad,0.1%
99,Engineering/Construction,0.4%
100,Graphics/Printing,0.1%
101,Medical Equipment,0.1%
102,Consulting/Professional Services,0.1%
103,Engineering,0.7%
104,Gaming/Entertainment,0.1%
105,Beverage manufacturing,0.1%
106,Artificial Intelligence/ Machine Learning,0.1%
107,Electronics,0.1%
108,Wine and Spirits,0.1%
109,Food Manufacturing,0.1%
110,Home Security,0.1%
111,Architecture/Construction,0.2%
112,Housing,0.1%
113,Antiques/Rare Collectibles,0.1%
114,Public administration/Local government,0.1%
115,Tourism,0.1%
116,Architecture/Design,0.1%
117,E-commerce,0.4%
118,Jewelry,0.1%
119,Hospitality/Tourism,0.1%
120,Engineering/Manufacturing,0.3%
121,Law,0.1%
122,Radio,0.1%
123,Pharmaceutical/Healthcare,0.1%
124,Waste Management,0.2%
125,IT/Technology,0.2%
126,Apparel/Fashion,0.1%
127,Auctions,0.1%
128,Cloud Computing/IT Services,0.1%
129,Meatpacking/Beef Processing,0.1%
130,Private Equity,0.1%
131,Computer Hardware,0.1%
132,Art and Antiques,0.1%
133,Laboratory/Scientific Research,0.1%
134,Entertainment/Hospitality,0.1%
135,Textile,0.1%
136,Textile/Apparel,0.2%
137,Graphic Design,0.2%
138,Textile/Manufacturing,0.1%
139,Cybersecurity,0.2%
140,Web Development/Hosting,0.1%
141,Information Technology (IT),0.1%
142,IT Consulting,0.1%
143,Energy and Water Utilities,0.1%
144,Payment Processing,0.1%
145,Tax preparation,0.1%
146,Chamber/Association,0.1%
147,Consumer Goods,0.1%
148,Funeral Services,0.2%
149,Design and Construction,0.1%
150,Research and Consulting,0.1%
151,Agricultural Equipment,0.1%
152,Interior Design/Furniture,0.1%
153,Sports Equipment,0.1%
154,Fraternity/Sorority,0.1%
155,Law Firm/Justice,0.1%
156,Pharmaceutical,0.3%
157,IT Services,0.1%
158,Dental Services,0.3%
159,Law/ Legal,0.1%
160,Cybersecurity/Information Technology,0.1%
161,Motor Sports,0.1%
162,Wholesale/Distribution,0.1%
163,Steel Service/Construction,0.1%
164,Lubricants,0.1%
165,Building Materials,0.1%
166,Cables and Wires Manufacturing,0.1%
167,Accounting/CPA Firm,0.1%
168,Wholesale/Retail,0.1%
169,Market Research,0.1%
170,Accounting/Finance,0.1%
171,Semiconductor,0.1%
172,Logistics and Supply Chain Management,0.1%
173,Wholesale/Manufacturing,0.1%
174,Artificial Intelligence,0.1%
175,Media/Publishing,0.1%
176,Public Administration,0.2%
177,Recruitment,0.1%
178,Mining,0.1%
179,Local Government/Community Services,0.1%
180,Lawyers/Professional Services,0.1%
181,Technology,0.2%
182,Oil and Gas Equipment Manufacturing,0.1%
183,Title Insurance and Services,0.1%
184,Construction Services,0.1%
185,Health and Wellness,0.1%
186,Wood and wood products,0.1%
187,Software Development,0.1%
188,Plumbing/HVAC,0.1%
189,Cleaning/Janitorial Services,0.1%
190,Shipbuilding,0.1%
191,Pharmaceuticals,0.3%
192,Steel,0.2%
193,Fashion/Apparel,0.1%
194,Labor Union,0.1%
195,Electric Power Generation,0.1%
196,Shipping,0.1%
197,Packaging/Logistics,0.1%
198,Software,0.1%
199,Health and Fitness,0.1%
200,Semiconductor/Electronics,0.1%
201,IT/Internet,0.1%
202,Religion,0.1%
203,Banking and Finance,0.1%
204,Transportation Equipment,0.1%
205,News/Publishing,0.1%
206,Law/Justice,0.1%
207,Biotechnology,0.1%
208,Media and Entertainment,0.1%
209,Golf Course,0.1%
210,Non-profit organizations,0.1%
211,Airlines,0.1%
212,Utilities,0.1%
213,Aviation/ Aerospace,0.1%
