,Industry,Percent
0,Construction,4.6%
1,Healthcare,26.2%
2,Information Technology (IT) Services,0.4%
3,Oil and Gas,0.8%
4,Manufacturing,8.0%
5,Logistics,2.7%
6,Legal/Professional Services,0.4%
7,Energy and Utilities,0.8%
8,Government,2.7%
9,Energy,1.9%
10,Food and Beverage,2.3%
11,Media,0.4%
12,Real Estate,2.3%
13,Financial Services,2.3%
14,Banking,0.8%
15,Logistics/Transportation,0.8%
16,Wholesaling/retailing,0.4%
17,Education,6.5%
18,Food/Beverage,1.1%
19,Railroad,0.4%
20,Engineering/Construction,0.4%
21,Food Processing,1.5%
22,Graphics/Printing,0.4%
23,Medical Equipment,0.4%
24,Retail,1.1%
25,Telecommunications,1.5%
26,Consulting/Professional Services,0.4%
27,Automotive,1.9%
28,Engineering,1.1%
29,Transportation,2.3%
30,Hospitality,0.4%
31,Accounting,0.8%
32,Gaming/Entertainment,0.4%
33,Beverage manufacturing,0.4%
34,Artificial Intelligence/ Machine Learning,0.4%
35,Electronics,0.4%
36,Consulting,0.8%
37,Wine and Spirits,0.4%
38,Food Manufacturing,0.4%
39,Home Security,0.4%
40,Finance,1.5%
41,Engineering/Consulting,0.4%
42,Architecture/Construction,0.4%
43,Fashion,0.4%
44,Housing,0.4%
45,Antiques/Rare Collectibles,0.4%
46,Engineering/Architecture,0.4%
47,Legal Services,0.8%
48,Public administration/Local government,0.4%
49,Tourism,0.4%
50,Architecture/Design,0.4%
51,E-commerce,0.4%
52,Jewelry,0.4%
53,Hospitality/Tourism,0.4%
54,Engineering/Manufacturing,0.4%
55,Law,0.4%
56,Radio,0.4%
57,Pharmaceutical/Healthcare,0.4%
58,Waste Management,0.8%
59,IT/Technology,0.4%
60,Apparel/Fashion,0.4%
61,Auctions,0.4%
62,Entertainment,1.1%
63,Cloud Computing/IT Services,0.4%
64,Meatpacking/Beef Processing,0.4%
65,Software/Technology,0.4%
66,Aerospace,0.4%
67,Private Equity,0.4%
68,Computer Hardware,0.4%
69,Art and Antiques,0.4%
70,Laboratory/Scientific Research,0.4%
71,Entertainment/Hospitality,0.4%
72,Textile,0.4%
73,Textile/Apparel,0.4%
74,Graphic Design,0.4%
75,Textile/Manufacturing,0.4%
76,Cybersecurity,0.4%
77,Agriculture,0.8%
78,Web Development/Hosting,0.4%
79,Information Technology (IT),0.4%
80,IT Consulting,0.4%
81,Energy and Water Utilities,0.4%
