,Country,Percent
0,Afghanistan,0.2%
1,Australia,3.2%
2,Brazil,1.6%
3,United States,46.5%
4,United Kingdom,7.1%
5,Mexico,2.0%
6,South Korea,0.4%
7,Colombia,0.4%
8,France,3.7%
9,Italy,1.6%
10,Venezuela,0.2%
11,Canada,4.8%
12,Indonesia,0.7%
13,Spain,2.3%
14,Peru,0.5%
15,China,1.2%
16,India,2.5%
17,Russia,1.6%
18,Greece,0.4%
19,Austria,0.7%
20,Germany,4.1%
21,Belgium,0.9%
22,Netherlands,0.5%
23,Croatia,0.4%
24,New Zealand,0.5%
25,Nigeria,0.4%
26,Poland,1.1%
27,Chile,0.5%
28,Vietnam,0.4%
29,Ireland,0.4%
30,Argentina,0.5%
31,Czech Republic,0.2%
32,Japan,0.9%
33,Thailand,0.5%
34,Israel,0.4%
35,Namibia,0.4%
36,Slovakia,0.4%
37,Turkey,0.9%
38,Trinidad and Tobago,0.2%
39,Sweden,0.7%
40,South Africa,1.2%
41,Switzerland,0.5%
42,Egypt,0.4%
43,Norway,0.2%
44,Ukraine,0.2%
45,Romania,0.2%
46,Luxembourg,0.2%
47,Lebanon,0.2%
48,Taiwan,0.4%
49,Bolivia,0.2%
50,Portugal,0.2%
51,Denmark,0.2%
52,Malaysia,0.2%
53,Philippines,0.2%
